ArrDelay,DayOfWeek,LateAircraft
99,Thurs,Not Late
18,Mon,Late
91,Wed,Not Late
34,Wed,Not Late
26,Wed,Not Late
29,Sun,Not Late
35,Fri,Not Late
53,Mon,Not Late
19,Thurs,Not Late
44,Fri,Not Late
67,Sun,Not Late
17,Sat,Not Late
24,Mon,Late
158,Mon,Not Late
25,Sat,Not Late
56,Wed,Not Late
24,Tues,Late
63,Tues,Late
24,Sun,Not Late
62,Sat,Late
35,Mon,Late
